"type","text"
"ham","I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house."
"ham","Sir, i am waiting for your call."
"ham","What's up. Do you want me to come online?"
"ham","It could work, we'll reach a consensus at the next meeting"
"ham","Aiyah then i wait lor. Then u entertain me. Hee..."
"ham","The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed."
"ham","I'll let you know when it kicks in"
"ham","You call him now ok i said call him"
"ham","Call to the number which is available in appointment. And ask to connect the call to waheed fathima."
"ham","Or ü go buy wif him then i meet ü later can?"
"ham","Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*"
"ham","Today my system sh get ready.all is well and i am also in the deep well"
"ham","Mom wants to know where you at"
"ham","Aight, I'll text you when I'm back"
"ham","Dont know supports ass and srt i thnk. I think ps3 can play through usb too"
"ham","Oh ok i didnt know what you meant. Yep i am baby jontin"
"spam","You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on"
"spam","Would you like to see my XXX pics they are so hot they were nearly banned in the uk!"
"spam","HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com"
"ham","Watching tv now. I got new job :)"
"ham","This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!"
"ham","I AM AT A PARTY WITH ALEX NICHOLS"
"spam","U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594"
"ham","Just seeing your missed call my dear brother. Do have a gr8 day."
"ham","Ok.. Ü finishing soon?"
"ham","Sorry, I can't help you on this."
"ham","Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
"ham","I love your ass! Do you enjoy doggy style? :)"
"ham","I think asking for a gym is the excuse for lazy people. I jog."
"spam","Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs"
"spam","Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm"
"ham","No. On the way home. So if not for the long dry spell the season would have been over"
"ham","I gotta collect da car at 6 lei."
"ham","Ok but knackered. Just came home and went to sleep! Not good at this full time work lark."
"ham","Probably earlier than that if the station's where I think it is"
"spam","CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+"
"ham","Good Morning plz call me sir"
"spam","FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)"
"ham","Uh, heads up we don't have THAT much left"
"ham","I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player."
"ham","Aight, sounds good. When do you want me to come down?"
"ham","Wat would u like 4 ur birthday?"
"ham","I love working from home :)"
"ham","And miss vday the parachute and double coins??? U must not know me very well..."
"ham","Sorry, I'll call later"
"ham","My sister got placed in birla soft da:-)"
"spam","Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+"
"ham","Wah... Okie okie... Muz make use of e unlimited... Haha..."
"ham","There're some people by mu, I'm at the table by lambda"
"ham","And stop being an old man. You get to build snowman snow angels and snowball fights."
"ham","ELLO BABE U OK?"
"ham","Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u"
"ham","Then u going ikea str aft dat?"
"ham","Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer"
"ham","Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh."
"ham","For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry."
"ham","You want to go?"
"spam","New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl"
"ham","Its not that time of the month nor mid of the time?"
"ham","Fffff. Can you text kadeem or are you too far gone"
"ham","We not leaving yet. Ok lor then we go elsewhere n eat. U thk..."
"ham","Is fujitsu s series lifebook good?"
"ham","Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real."
"ham","Dont know you bring some food"
"ham","No current and food here. I am alone also"
